Report,NoisyOR_Score,Positive Bigrams,Positive Unigrams,CRSHNMBR,CRSHDATE,CRSHTIME,NTFYHOUR,ONHWY,ONSTR,ATHWY,ATSTR,HWYCLASS,LATDECDG,LONDECDG
"~ON 1/28/2019 AT 1911 HOURS, I, PO FIKEJS #669 RESPONDED TO 4600BLK OF 7TH AVE REFERENCE AN ACCIDENT PD FOR A CITY OF KENOSHA PLOW (U2) AND A ILLEGALLY PARKED SPECTRUM VAN (U1). UPON ARRIVAL, I SPOKE WITH U2 OPERATOR, KEIR POWELL (VALID WI CDL) WHO ADVISED THAT HE WAS SNOW PLOWING FOR THE CITY OF KENOSHA DURING AN ACTIVE ISSUED FULL SNOW EMERGENCY. U2 WAS FACING EAST ON 46TH ST AND ATTEMPTED TO TURN RIGHT (SOUTH) ONTO 7TH AVE. U2 ADVISED THERE WAS A VAN (U1) THAT WAS ILLEGALLY PARKED ON THE WEST SIDE OF 7TH AVE IN THE 4600BLK OF 7TH AVE NEAR THE CORNER. U2 MADE NUMEROUS PASSES AROUND THE ILLEGALLY PARKED VAN AND KNEW THAT THE VAN WAS LOCATED NEAR THE CORNER. IN AN ATTEMPT TO GO AROUND U1, U2'S FRONT BLADE STRUCK THE EAST CURB CAUSING U2 TO BOUNCE OFF THE CURB STRIKING U1 ON THE REAR DRIVER SIDE WITH THE CORNER OF THE BLADE. U1 WAS ILLEGALLY PARKED ON THE ROADWAY DURING AN ACTIVE SNOW EMERGENCY AND WAS UNOCCUPIED AT THE TIME. U1 MANAGEMENT ADVISED THEIR VEHICLE WAS PARKED ON THE ROAD FOR AN ACTIVE WORK ORDER. NO INJURIES, NO CITATIONS. PICTURES TAKEN AND UPLOADED.~~
",0.992414842,"['active work', 'an active']","['active', 'active', 'active']",190114944,1/28/2019,1911,19,,7TH AVE,,46TH ST,U CITY,42.594272,-87.82051512
"~I WAS DISPATCHED TO A 2 VEHICLE PDO CRASH ON THE N-W RAMP IN THE ZOO INTERCHANGE.  UPON ARRIVAL I OBSERVED A RED VEHICLE OUT OF TRAFFIC IN THE RIGHT DISTRESS LANE WITH FRONT PASSENGER DAMAGE.    OPERATOR OF UNIT 1 STATED HE WAS TRAVELING ON THE N-W RAMP AT .50-55 MPH WHEN HE OBSERVED A MAROON CAR TRAVELING ON THE S-W RAMP HIT SOME ICE AND CAME ACROSS INTO HIS LANE. HE TRIED TO STOP IN TIME TO NOT HIT THE MAROON CAR BUT ENDED UP HITTING THE CAR IN THE REAR END.  THE MAROON CAR THEN HIT THE WALL WITH THE FRONT END OF THE CAR.  THE MAROON CAR THAT HE HIT KEPT ON DRIVING AND HE PULLED OVER.  WAUKESHA COUNTY S.O. STOPPED THE MAROON VEHICLE, UNIT 2, FURTHER WEST FROM THE CRASH SCENE.  I SPOKE WITH THE OPERATOR OF UNIT 2 WHO STATED HE WAS TRAVELING FROM 894 TO WB I94 IN THE RIGHT LANE AT 35MPH WHEN THE CAR JUST WENT STRAIGHT AND HE CROSSED THE OTHER RAMP FROM US 45 AND HIT THE WALL.  HE ALSO STATED HE WAS UNAWARE HE WAS HIT BY ANY OTHER VEHICLES.    UPON INVESTIGATION UNIT 1 WAS TRAVELING ON THE N-W RAMP IN THE ZOO AT 55MPH WHEN UNIT 2 CUT ACROSS HIS LANE OF TRAFFIC.  UNIT 1 WAS UNABLE TO AVOID STRIKING THE VEHICLE AND STRUCK UNIT 2'S REAR BUMPER.  UNIT 2 WAS TRAVELING IN LANE 2 OF THE S-W RAMP AT 35 MPH WHEN HE LOST CONTROL TRAVELING ACROSS AN ICE PATCH.  AFTER UNIT 2 WAS STRUCK BY UNIT 1, UNIT 2 STRUCK THE WALL WITH THE FRONT END OF THE VEHICLE.~~X SQ 27
",0.992410206,"['the zoo', 'zoo interchange', '2s rear', '894 to']","['zoo', 'zoo']",190404524,4/15/2019,342,3,894,,94,,U IH,43.02711115,-88.04100114
"~CALLED TO A SINGLE VEHICLE ACCIDENT ON JEFFERSON/HIGHWAY 35 NEAR JOHNSON CONSTRUCTION JUST OFF OF THE ROAD WAY IN THE DRY RUN BELOW THE BRIDGE. 2 OCCUPANTS WERE INSIDE THE VEHICLE WITH INJURIES TO THE DRIVER. DRIVER STATED HE SWERVED TO MISS A DEER CROSSING THE ROADWAY AND NARROWLY MISSED THE GUARD RAIL ON THE NORTH SIDE OF THE ROADWAY. DRIVER STATED VEHICLE WAS TRAVELING AT APPROXIMATELY 50 MILES PER HOUR AND FLIPPED END OVER END AN UNKNOWN AMOUNT OF TIMES. DRIVER WAS WEARING HIS SEAT BELT AND FEMALE WAS NOT BELTED. EXTENSIVE DAMAGE TO THE ENTIRE VEHICLE AS IT STRUCK MANY ROCKS AFTER LEAVING THE ROADWAY AND TRAVELING INTO THE GULLEY. MALE DRIVER HAD INJURIES AND WAS COMPLAINING OF POSSIBLY LOOSING CONCIOUSNESS AFTER THE ACCIDENT FOR A SHORT AMOUNT OF TIME. DRIVER STATING THAT HE STRUCK HIS HEAD, HAD SOME BRUISING AND PAIN TO HIS RIBS AND COULD NOT MOVE HIS LEFT LEG WITHOUT EXTREME PAIN ABOVE THE KNEE. FEMALE PASSENGER APPEARED TO BE OKAY, AND DECLINED EMS. MALE WAS TRANSPORTED TO REGIONS HOSPITAL IN SAINT PAUL BY RIVER FALLS EMS, PRESCOTT FIRE ASSISTED WITH TRAFFIC CONTROL AND GETTING BOTH OCCUPANTS OUT OF THE DITCH AND BACKBOARDING THE MALE DRIVER/PATIENT. SIEWERTS TOWING RESPONDED TO THE ACCIDENT SCENE WITH A WRECKER AND WAS ABLE TO REMOVE THE CAR FROM THE DRY RUN/DITCH AND ONTO A FLATBED TOW TRUCK. VEHICLE WAS TOWED TO THE PRESCOTT IMPOUND LOT, THE NORTHBOUND LANE OF HIGHWAY 35 WAS CLOSED DOWN FROM APPROXIMATELY 2:45 AM UNTIL 4:45 AM. DRIVER WAS CITED FOR OPERATING A MOTOR VEHICLE WITHOUT VALID DRIVERS LICENSE.~~
",0.99240201,"['construction just', 'was closed', 'closed down']","['construction', 'closed']",190705078,7/18/2019,240,2,35,,,WACOTA ST,R STH,44.74384208,-92.78426367
"~UNIT 1 AND 2 WERE BOTH TRAVELING WESTBOUND ON W. MCKINLEY AVE.  AS THEY APPROACHED A CONSTRUCTION AREA AT THE INTERSECTION OF N. 6TH ST AND W. MCKINLEY UNIT 1 BELIEVED UNIT 2 WAS YIELDING HER THE RIGHT OF WAY AS THEY WERE BOTH SUPPOSED TO MERGE INTO THE RIGHT HAND LANE.  UNIT 2 DID NOT YIELD AND PULLED IN FRONT OF UNIT 1 KNOCKING BOTH HIS RIGHT HAND SIDE REAR VIEW MIRROR OFF AND UNIT 1'S DRIVER SIDE MIRROR OFF.  UNIT 2 REFUSED TO STOP OR ACKNOWLEDGE THAT A CRASH HAD OCCURRED AND CONTINUED DRIVING.  UNIT 1 PROVIDED A LICENSE PLATE OF # 474WHC WHICH MATCHES THE DESCRIPTION OF A BLUE PRIUS THAT SHE GAVE.  I REQUESTED THAT A SQUAD PERFORM FOLLOW AND ATTEMPT TO LOCATE THE REGISTERED OWNER AT HIS RESIDENCE OF 2505 E BRADFORD AVE #3202.  PO JUTIKI X WAS DISPATCHED TO PERFORM THIS FOLLOW UP.  PO X MADE CONTACT WITH THE OWNER SNIDER, DALE R 3/21/1938.  SNIDER DID ACKNOWLEDGE HE WAS IN A MIRROR TO MIRROR CRASH AT THE INTERSECTION OF N 6TH AND W MCKINLEY.  HE SAID THAT AT THE TIME THERE WAS NO WHERE TO PULL OVER AND UNIT 1 CONTINUED DRIVING AS WELL.  I CONTACTED HIM AT 414-217-3138 AND ADVISED HIM THAT I WOULD BE FILING THIS CRASH REPORT.  HE ADVISED ME THAT HE HAD THE RIGHT OF WAY AND THAT UNIT #1 MERGED INTO HIM CAUSING THE CRASH.~~
",0.992369868,"['construction area', 'a construction', '1s driver']",['construction'],190210393,2/25/2019,800,8,,W MCKINLEY AVE,145,,U CITY,43.0469952,-87.91864196
"~THERE WERE TRAFFIC ACCIDENTS AT MILTON/BLACKBRIDGE WHICH KEPT OCCURRING TODAY BECAUSE  OF GENERAL BOTTLE NECKING OF TRAFFIC, SPEEDS FOLLOWING TO CLOSE AND A WATER MAIN BREAK WHICH WAS FREEZING SOLID WITH TEMPERATURES 10 DEGREES BELOW ZERO.  THIS WAS ALL CULIMATING IN ACCIDENTS.  THIS ACCIDENT FOUR VEHICLES COLLIDED AT TRAFFIC WAS ATTEMPTING TO MERGE OVER FOR THE CLOSED RIGHT LANE.~~
",0.992323231,"['closed right', 'the closed', 'water main']",['closed'],190111191,1/25/2019,930,9,26,MILTON AVE,,BLACK BRIDGE RD,U STH,42.70528459,-89.00601453
"~HILLSIDE RD AT CTY TK Q IS A RIGHT TURN ONLY LANE DUE TO AN ROAD CONSTRUCTION PROJECT IN THE AREA. #1 WAS SOUTHBOUND ON HILLSIDE RD AT THE STOP SIGN. VEHICLES CAN ONLY MAKE A RIGHT TURN ONTO CTY TK Q. #1 WAS WAITING FOR CTY TK Q TRAFFIC TO CLEAR. #2 CAME UP BEHIND #1. #2 SAW A BREAK IN TRAFFIC AND THOUGHT #1 WAS GOING TO PULL OUT FROM THE STOP SIGN. #1 DID NOT PULL OUT BUT #2 PULLED AHEAD REAR ENDING #1.~~
",0.992220929,"['construction project', 'road construction']","['construction', 'project']",190709862,7/23/2019,905,9,,HILLSIDE RD,Q,,U CITY,43.19330174,-88.24178445
"~""THE OPERATOR OF UNIT 1 STATED, """"SOMETHING WAS IN THE ROAD AND I SWERVED TO AVOID IT AND THEN LOST CONTROL AND HIT THE WALL.""""  THE OPERATOR OF UNIT 2/NON-CONTACT LOST DEBRIS AND CONTINUED DRIVING.  WITNESS STATED, """"SHE ALMOST HIT A CONSTRUCTION BARREL OR SIGN THAT WAS IN THE MIDDLE OF THE ROAD. I PULLED HER OUT OF HER VEHICLE WHEN THE FIRE STARTED AND I CUT MY ARM.""""  UPON INVESTIGATION, BOTH UNITS WERE TRAVELING SOUTHBOUND I43 AT WINNEBAGO WHEN UNIT 2/NON-CONTACT WHITE PICK UP, LOST DEBRIS/A ROAD SIGN IN TRAFFIC. UNIT 1 WAS TRAVELING AND DID NOT OBSERVE THE TRAFFIC SIGN UNTIL HER VEHICLE WAS ABOUT TO RUN IT OVER. UNIT 1 SWERVED TO AVOID THE DEBRIS AND LOST CONTROL OF HER VEHICLE, STRIKING THE MEDIAN CONCRETE BARRIER BECOMING DISABLED. THE VEHICLE THEN STARTED ON FIRE IN THE MEDIAN DISTRESS LANE, BECOMING FULL ENGULFED. THE WITNESS AND MULTIPLE OTHER VEHICLES STOPPED TO RETRIEVE THE OPERATOR OF UNIT 1 OUT OF HER VEHICLE. UNIT 1 OPERATOR WAS RETRIEVED WITH A SUSPECTED BROKEN RIGHT LEG.   PHOTO OF WHITE PICK UP TRUCK THAT LOST DEBRIS AND PHOTOS OF SIGN HAVE BEEN PLACED INTO RECORDS AND INFORMATION (R&I/OPEN RECORDS).STOC VIDEO ALSO HAS BEEN PLACED INTO R&I. UNABLE TO RETRIEVE A LICENSE PLATE FROM THE STOC VIDEO OF THE VEHICLE THAT LOST DEBRIS. THE WITNESS' RIGHT ARM HAD A LARGE CUT AND HE WAS BLEEDING. THE OPERATOR OF UNIT 1 HAD SUSPECTED INJURIES WITH HER RIGHT ANKLE AND RIGHT FOREARM.""~~X, 51
",0.992019354,"['a construction', 'construction barrel']","['construction', 'barrel']",190905159,9/18/2019,1145,11,43,,145,,U IH,43.0491481,-87.9262071
"~UNIT 2 STOPPED AT  MARQUETTE AVE. UNIT 2 STARTED TO TURN RIGHT ONTO MINVERA ST. AS UNIT 2 WAS TURNING UNIT 2 SAW UNIT 1 STARTING TO TURN LEFT ONTO MARQUETTE AVE. UNIT 2 NOTICED AS UNIT 1 WAS TURNING UNIT 1 WAS TURNING INTO UNIT 2 LANE. UNIT 2 BEEPED HIS HORN TO GET UNIT 1 TO STOP HOWEVER UNIT 1 HIT UNIT 2. UNIT 1 ADMITTED TO TURNING TOO SHORT GOING INTO UNIT 2 LANE HITTING UNIT 2. UNIT 1 ADMITTED TO BEING AT FAULT. (NOTE: GOOGLE MAP SHOWS CONSTRUCTION ON MINVERA ST WHICH NO LONGER EXISTS. BOTH ROADWAYS WERE CONSTRUCTION FREE.)~~
",0.991810458,"['were construction', 'construction on']","['construction', 'construction']",190207815,2/19/2019,701,7,,MINERVA ST,,MARQUETTE AVE,U CITY,44.04752997,-88.56005874
"~OPERATOR OF UNIT #1 WAS WESTBOUND THRU THE ZOO INTERCHANGE IN LANE #1 WHEN SHE DEVIATED FROM HER LANE OF TRAVEL INTO LANE #2 AND STRUCK UNIT #2. OPERATOR OF UNIT #1 GAVE ALL HER INFORMATION TO THE OPERATOR OF UNIT #2 AND THEN LEFT THE SCENE.  OPERATOR OF UNIT #2 STATED SHE WAS WESTBOUND THRU THE ZOO INTERCHANGE IN LANE #2 WHEN THE OTHER CAR CAME INTO HER LANE AND HIT HER CAR, CAUSING HER CAR TO BE PUSHED INTO THE EXIT LANE FOR HIGHWAY 100. OPERATOR OF UNIT #2 STATED SHE RECEIVED ALL THE PERTINENT INFORMATION FROM THE OPERATOR OF UNIT #1 PRIOR TO HER LEAVING THE CRASH SCENE.  INVESTIGATION REVEALED THE OPERATOR OF UNIT #1 WAS WESTBOUND THRU THE ZOO INTERCHANGE WHEN SHE DEVIATED FROM HER LANE OF TRAVEL AND STRUCK UNIT #2. OPERATOR OF UNIT #1 GAVE ALL PERTINENT INFORMATION TO THE OPERATOR OF UNIT #2 BUT LEFT THE SCENE AFTER THAT.  NO INJURIES.  NO WITNESSES. NO ASSISTING SQUADS. NO TOWS NEEDED. NO GOVERNMENT PROPERTY STRUCK. NO HAZMAT.~~SQD 17, 2X
",0.991781603,"['the zoo', 'zoo interchange', 'highway 100']","['zoo', 'zoo', 'zoo']",190810353,8/28/2019,1730,22,94,,,RAMP IH 94 TO STH 100,U IH,43.02865414,-88.0454037
"~ON THE ABOVE DATE AND TIME, I WAS PATROLLING IN THE CITY OF WAUSAU. I WAS DISPATCHED TO THE ABOVE AREA FOR A REPORT OF VEHICLE CRASH INVOLVING A MOPED AND PARKED VEHICLE. UPON ARRIVAL OFFICERS DETERMINED MEDICAL TREATMENT WAS NECESSARY AND THE DRIVER OF THE MOPED WAS TRANSPORTED TO ASPIRUS HOSPITAL. CONTACT WAS MADE WITH THE OWNER OF THE PARKED VEHICLE. PHOTOGRAPHS WERE TAKEN OF THE DAMAGE TO BOTH INVOLVED UNITS AND THE SCENE. THE PHOTOGRAPHS WERE UPLOADED VIA AXON CAPTURE. AFTER INTERVIEWING THE OPERATOR OF THE MOPED, IT WAS DETERMINED HE WAS NOT WEARING ANY SAFETY PROTECTION GEAR. UNIT 1 WAS TRAVELING SOUTHBOUND ON CHERRY STREET, APPROACHING KNOX ST AT APPROXIMATELY 25 TO 30 MILES PER HOUR. THE DRIVER OF UNIT 1 CAME ACROSS A LARGE SECTION OF THE ROADWAY THAT WAS UNDER CONSTRUCTION AND WAS EXTREMELY ROUGH WITH GRAVEL. HE LOST CONTROL OF THE MOPED AND RAN OFF THE ROADWAY TO HIS RIGHT, STRIKING THE PARKED UNIT 2 WITH HIS HEAD. DUE TO THE ROAD CONDITIONS AND LACK OF SIGNS ADVISING OF THE ROUGH ROAD CONDITIONS, THE DRIVER OF UNIT 1 WAS NOT CITED. THE OPERATOR OF UNIT 1 WAS TREATED AT ASPIRUS. PHOTOGRAPHS OF ALL INJURIES WERE SUBMITTED VIA AXON CAPTURE.~~19004350 BWC 179/150/155
",0.991744367,"['under construction', 'construction and', 'signs advising']",['construction'],190504680,5/13/2019,1812,18,,CHERRY ST,,E STROWBRIDGE ST,U CITY,44.97683295,-89.63582232
"~I RESPONDED TO A CRASH ON EASTBOUND I-94 AT 84TH STREET.    THE OPERATOR OF UNIT 1 STATED THAT HE WAS TRAVELING IN LANE 2 AND WENT TO CHANGE LANES INTO LANE 3.  HE THOUGHT THE OTHER VEHICLE WAS IN LANE 4.  WHEN HE CHANGED LANES HE HIT THE OTHER VEHICLE SIDE BY SIDE IN LANE 3.    THE OPERATOR OF UNIT 2 STATED THAT SHE WAS DRIVING IN THE SECOND LANE FROM THE RIGHT AND THE OTHER VEHICLE MERGED INTO HER.  UPON MY INVESTIGATION UNIT 2 WAS TRAVELING NORTH TO EAST THROUGH THE ZOO INTERCHANGE, AT THE END OF THE RAMP, SHE WAS IN LANE 3.  UNIT 1 WAS TRAVELING IN LANE 2, EASTBOUND THROUGH THE ZOO INTERCHANGE. JUST AFTER THE MERGER OF EASTBOUND THROUGH AND NORTH TO EAST, UNIT 1 CHANGED LANES FROM LANE 2 INTO LANE 3 AND STRUCK UNIT 2. UNIT 2 WAS FOUND TO BE THE CAUSE OF THE CRASH FOR UNSAFE LANE CHANGE     NO GOVERNMENT PROPERTY WAS DAMAGED  NO VEHICLES WERE TOWED  NO SUBJECTS WERE INJURED.~~
",0.991713012,"['the zoo', 'zoo interchange', 'at 84th', '84th street', 'change no']","['zoo', 'zoo']",190210605,2/15/2019,1158,11,94,,,S 92ND ST,U IH,43.02785083,-88.02719353
"~OPERATOR OF UNIT 1 HIT AND RAN FROM THE SCENE. NO STATEMENT WAS ABLE TO BE OBTAINED.  UPON INVESTIGATION: UNIT 1 WAS TRAVELING SOUTHBOUND ON I-43 APPROACHING THE MARQUETTE INTERCHANGE IN MOST LIKELY LANE 1. UNIT 1 REALIZED AT THE LAST MINUTE THAT THEY WANTED TO GO FROM THE NORTH TO EAST IN THE MARQUETTE INTERCHANGE, AND THEREFORE WENT TO MERGE QUICKLY FROM LANE 1 TO LANE 3. WHEN DOING THIS MANEUVER, THE OPERATOR OF UNIT 1 LOST CONTROL, AND CRASHED INTO THE ATTENUATOR THAT SEPARATES THE RAMPS IN THE MARQUETTE INTERCHANGE TO GO FROM THE NORTH TO THE EAST AND SOUTHBOUND THROUGH. AFTER STRIKING THE ATTENUATOR, UNIT 1 PROCEEDED TO FLEE THE SCENE. A FRONT BUMPER WITH A LICENSE PLATE WAS LOCATED NEAR THE SCENE.  FOLLOW UP ON THE VEHICLE WAS CONDUCTED AT THE LISTED ADDRESS FROM THE LICENSES PLATE FOUND ON SCENE LEAD TO THE VEHICLE BEING LOCATED. THE OWNER OF THE VEHICLE ADVISED THAT HE WAS NOT DRIVING IT, THAT A FRIEND OF A COUSIN WHO HE DID NOT KNOW WAS DRIVING IT; HIS MOTHER CONFIRMED THIS AS WELL. THE OWNER ADVISED THAT HE FOUND OUT ABOUT THE CRASH ON THE FOLLOWING DAY, MONDAY. THE OWNER STATED THAT HE WAS VERY UPSET WHEN THE VEHICLE WAS RETURNED DAMAGED, AND DID NOT OBTAIN ANY INFORMATION AS TO WHERE THE CRASH OCCURRED AND THEREFORE COULD NOT REPORT IT. THE OWNER ADVISED THAT HE DID NOT HAVE INSURANCE ON THE VEHICLE.~~X1, 11
",0.991492891,"['attenuator that', 'attenuator unit', 'the attenuator', 'realized at']","['attenuator', 'attenuator']",190810791,8/25/2019,709,7,,RAMP IH 43 TO IH 794,,W WISCONSIN AVE,U CITY,43.03824812,-87.92520634
"~""I RESPONDED TO A 1 CAR PI CRASH INTO THE CONCRETE BARRIER EB I94 AT HWY 100. UPON MY ARRIVAL, I FOUND A RED NISSAN WITH SUBSTANTIAL DAMAGE TO THE FRONT END.   UNIT 1: OPERATOR STATED THAT HE WAS GOING EB I94 AND NEEDED TO TAKE THE CHICAGO RAMP. HE WENT TO CHANGE LANES TO LANE 3 WHERE THE RAMP SPLITS BUT THERE WAS A CAR IN HIS BLIND SPOT TO HIS RIGHT THAT """"WOULDN'T LET ME OVER"""". HE THEN WENT TO GO BACK INTO HIS LANE BUT WAS IN THE SHOULDER AND THEN HIT THE WALL. HE STATED THAT HE WAS OK.  UPON INVESTIGATION: OPERATOR OF UNIT 1 WAS IN LANE 2 EB I94 AT THE BEGINNING OF THE W TO THE N/S RAMPS WHEN THE OPERATOR NEEDED TO CHANGE LANES TO GO SOUTH IN THE ZOO INTERCHANGE TO GO TO CHICAGO. THE OPERATOR ATTEMPTED TO CHANGE LANES FROM 2 TO 3 WHEN THE OPERATOR REALIZED THERE WAS A VEHICLE IN HIS BLIND SPOT TO HIS RIGHT AND WAS NOT ABLE TO CHANGE LANES SAFELY. OPERATOR OF UNIT 1 THEN VEERED AWAY FROM THE VEHICLE TO AVOID SIDE SWIPING IT AND DROVE INTO THE ATTENUATOR, HITTING THE SIDE AND THEN HITTING THE CONCRETE WALL JUST BEHIND IT AND COMING TO A STOP IN THE DISTRESS LANE.   INJURIES REPORTED (MINOR) BY DRIVER AND PASSENGER. BOTH OCCUPANTS DECLINED ON SCENE MEDICAL BY WEST ALLIS FIRE. VEHICLE TOWED BY N & S TOWING. GOVERNMENT PROPERTY STRUCK (CONCRETE BARRIER AND ATTENUATOR)""~~SQUAD 24
",0.991407145,"['the zoo', 'zoo interchange', 'allis fire', 'the attenuator']","['zoo', 'attenuator']",191000748,10/4/2019,1440,14,94,,100,,U IH,43.02973747,-88.04914563
"~WHILE AT THE STOP SIGN ON LILY RD FACING NORTH UNIT 1 WAS STRUCK BY UNIT 2 WHEN IT PULLED INTO THE NORTHBOUND LANE ON LILY RD WHILE DRIVING SOUTHBOUND IN AN ATTEMPT TO POSITION HIMSELF TO BACK UP INTO THE CONSTRUCTION AREA ON CTY TK C. HE DID NOT SEE HER AND BELIEVED HER VEHICLE TO HAVE ALREADY DRIVEN NORTH THROUGH THE INTERSECTION. DRIVER 2 WAS ISSUED A CITATION FOR OPERATING LEFT OF THE CENTERLINE. BOTH PARTIES REMOVED THEIR VEHICLES. UNIT 1 SUSTAINED FUNCTIONAL DAMAGE TO HER PASSENGER SIDE REAR, INCLUDING A BROKEN WINDOW. UNIT 2S TARP RAIL SUSTAINED SCRATCHES.~~WI DLS, COOPERTIVE, LIBERTY/MACK TRUCK
",0.991274937,"['the construction', 'construction area']",['construction'],190703912,7/9/2019,1325,13,,LILY RD,C,,R TOWN,43.33864606,-88.22168001
"~THE OPERATOR OF UNIT #1 WAS TRAVELING EASTBOUND ON DURAND AVE. THE OPERATOR OF UNIT #1 MISREAD A SIGN IN THE CONSTRUCTION AREA, AND BEGAN TO SWITCH LANES. WHEN UNIT #1 SWITCHED LANES, IT SIDE SWIPED UNIT #2 WHO WAS ALREADY TRAVELING E/B IN THE LANE. BOTH VEHICLES CAME TO REST PARTIALLY IN TRAFFIC ON DURAND AVE.~~
",0.991274937,"['the construction', 'construction area']",['construction'],190905326,9/18/2019,1713,17,11,,,W FRONTAGE RD,R STH,42.69586769,-87.95896421
"~UNIT 1 HAD A STOP SIGN IN THE CONSTRUCTION AREA. UNIT 1 CREPT FORWARD TO FAR WHILE TRYING TO TURN ONTO DURAND AVE FROM SOUTHWOOD DRIVE. UNIT 1 WENT TOO FAR INTO THE EB LANES OF DURAND AVE AND STRUCK UNIT 2. UNIT 2 HAD DAMAGE ACROSS THE PASSENGER SIDE OF HER VEHICLE. OPERATOR OF UNIT 1 SAID HE DID NOT SEE UNIT 2 COMING. ACCIDENT CARDS GIVEN.~~
",0.991274937,"['the construction', 'construction area']",['construction'],190907236,9/22/2019,1446,14,,SOUTHWOOD DR,11,,U CITY,42.69686787,-87.84180869
"~I RESPONDED TO A CRASH THAT OCCURRED ON N. I-41 AT HOWARD AVENUE. ONE VEHICLE STOPPED ON 945TH AND BLUEMOUND ROAD, THE OTHER VEHICLE CONTINUED ON N. I-41. I LATER MET UP WITH THE VEHICLE THAT DID NOT STOP.  THE OPERATOR OF UNIT 1 WAS IDENTIFIED WITH A WISCONSIN DRIVER'S LICENSE. HE STATED THAT HE WAS GOING NORTH ON 894  IN LANE 1 NEAR OKLAHOMA AVENUE. HE SAID THAT A BLACK SUV WITH A WHITE CAMPER WAS PASSING HIM ON HIS RIGHT SIDE. HE SAID THAT HE WAS WAITING FOR IT TO PASS BEFORE MOVING OVER. HE SAID THAT HE HAD NOT BEGUN CHANGING LANES WHEN THE OTHER CAR CLIPPED HIM. HE SAID THAT THE CAR CONTINUED STRAIGHT AND HE BEGAN FOLLOWING. HE SAID THAT AS THEY GOT TOWARDS THE ZOO INTERCHANGE THE CAR MOVED OVER TO THE RIGHT TO GO WEST. HE SAID HE COULD NOT GET OVER IN TIME AND CONTINUED NORTH ON 41. HE STATED THAT HE GOT TO HIS DESTINATION AND THEN CALLED HIS DISPATCHER TO NOTIFY THEM OF THE CRASH, HE SAID THAT I HAD ALREADY CALLED THEIR DISPATCH BEFORE HE DID AND THAT IS WHY HE DID NOT REPORT IT TO THE POLICE.  THE OPERATOR OF UNIT 2 WAS IDENTIFIED WITH A WISCONSIN DRIVER'S LICENSE. HE STATED THAT HE WAS COMING FROM THE EAST IN THE LEFT LANE AND THAT THE SEMI WAS COMING FROM THE WEST. HE STATED THAT APPROXIMATELY A HALF MILE AFTER THE EAST AND WEST LANES CAME TOGETHER THE SEMI MOVED INTO HIS LANE AND HIS THE LEFT REAR OF HIS CAMPER. HE STATED THAT THE SEMI DID NOT STOP SO HE GOT BEHIND IT TO GET A LICENSE PLATE.   UPON INVESTIGATION BOTH UNITS WERE TRAVELING NORTHBOUND ON N. I-41 AT HOWARD AVENUE. UNIT 1 WAS IN LANE 1 AND UNIT 2 WAS IN LANE 2. UNIT 1 BEGAN MOVING INTO LANE 2 WHEN THE FRONT RIGHT CORNER OF UNIT 1 STRUCK THE LEFT REAR CORNER OF UNIT 2'S TRAILER. UNIT 1 HAD DAMAGE TO THE FRONT RIGHT CORNER. UNIT 2 HAD DAMAGE TO THE LEFT REAR CORNER. BOTH VEHICLES WERE REMOVED BY THE OPERATORS. THE CRASH WAS NOT CAPTURED BY THE TRAFFIC CAMERAS IN THE AREA.~~
",0.991210508,"['the zoo', 'zoo interchange', '894 in', 'on 894', 'near oklahoma', 'semi moved']",['zoo'],190903188,9/3/2019,745,7,41,,,W HOWARD AVE,U CITY,42.97279073,-88.0381091
"~UNIT 2 WAS STOPPED AT THE TRAFFIC LIGHT. UNIT 1 WAS BEHIND UNIT 2. THE TRAFFIC LIGHT TURNED GREEN AND BOTH VEHICLES STARTED TO MOVE FORWARD. UNIT 2 STOPPED TO ALLOW A VEHICLE TO MERGE DUE TO CONSTRUCTION. UNIT 1 WAS ADJUSTING SOMETHING IN THE VEHICLE AND LOOKED DOWN. UNIT 1 STRUCK UNIT 2.~~
",0.991034643,"['construction unit', 'to construction', 'merge due']",['construction'],190509925,5/30/2019,1646,16,42,MEMORIAL DR,,E REED AVE,U STH,44.11384901,-87.63683891
"~U1 WAS TRAVELING WESTBOUND ON CTH J WHICH IS CLOSED IS 6TH CT AND W 7TH AVE DUE TO A WASHED OUT ROAD. U1 WENT AROUND THE BARRICADES AND STRUCK THE SOLID ROADWAY ON THE WEST SIDE OF THE WASHOUT. U1 SUSTAINED SIGNIFICANT DISABLING DAMAGE.~~
",0.990993625,"['barricades and', 'is closed', 'the barricades']","['barricades', 'closed']",190305588,3/19/2019,1330,14,J,,,6TH CT,R CTH,43.98187237,-89.70867152
